ID,Type,Question Content
E001,Multiple Choice,"Which of the following best describes the relationship among data, information, and knowledge? A. Knowledge is the rawest form; data comes after processing. B. Data is the symbolic representation, information is the meaning of data, knowledge is the abstract product of refined information. C. They are unrelated concepts. D. Data and information are identical."
E002,Multiple Choice,Information has several basic features. Which of the following is NOT one of them? A. Carrier dependency. B. Timeliness. C. Value. D. Permanence.
E003,Multiple Choice,A teacher records students' math scores in an Excel spreadsheet. What does each score most directly represent? A. Knowledge. B. Information. C. Data. D. Wisdom.
E004,Multiple Choice,Which of the following is an example of indirect data acquisition? A. Conducting a survey. B. Observing an experiment. C. Downloading weather data from a public API. D. Using a thermometer.
E005,Multiple Choice,"To convert the decimal number 173 to binary, the result is: A. 10101101. B. 11001001. C. 10011101. D. 10101010."
E006,Multiple Choice,The hexadecimal number '2F' equals which decimal value? A. 47. B. 57. C. 47 decimal. D. 62.
E007,Multiple Choice,"In ASCII encoding, the uppercase letter 'A' has decimal code 65, then the digit '0' has decimal code: A. 48. B. 16. C. 64. D. 32."
E008,Multiple Choice,Color in computer displays is commonly described using the RGB model. Each channel has 256 levels represented by: A. 4 bits. B. 8 bits. C. 16 bits. D. 32 bits.
E009,Multiple Choice,"The three basic steps of sound digitization are: A. Capture, Compression, Storage. B. Sampling, Quantization, Encoding. C. Recording, Editing, Playing. D. Encoding, Decoding, Output."
E010,Multiple Choice,Which of the following is an example of lossy compression? A. ZIP. B. PNG. C. JPEG. D. RAR.
E011,Multiple Choice,"Which of the following best describes big data's main characteristics? A. Large volume, multiple types, fast speed, high value. B. Small size, single type, slow speed, low value. C. Only text-based. D. Only used by scientists."
E012,Multiple Choice,Which chart type is most suitable for showing how a quantity changes over time? A. Pie chart. B. Bar chart. C. Line chart. D. Radar chart.
E013,Multiple Choice,"An algorithm must have five features: finiteness, definiteness, input, output, and: A. Complexity. B. Feasibility. C. Speed. D. Memory."
E014,Multiple Choice,Which of the following is NOT a way to describe an algorithm? A. Natural language. B. Flowchart. C. Pseudo-code. D. Spreadsheet formula.
E015,Multiple Choice,"In a flowchart, which symbol is used to represent a decision (condition check)? A. Rectangle. B. Diamond. C. Oval. D. Parallelogram."
E016,Multiple Choice,Which of the following is an example of a sequence structure in programming? A. Repeating a block 10 times. B. Checking a password then granting access. C. Executing statements one after another in order. D. Choosing between two options.
E017,Multiple Choice,The divide-and-conquer strategy works by: A. Trying every possible solution. B. Breaking a problem into smaller sub-problems of the same type and solving them. C. Randomly selecting answers. D. Using brute-force recursion only.
E018,Multiple Choice,Binary search requires the input array to be: A. Unsorted. B. Sorted. C. In reverse order. D. Empty.
E019,Multiple Choice,Which of the following is NOT a high-level programming language? A. Python. B. C++. C. Java. D. Machine language.
E020,Multiple Choice,Which statement is true about machine language? A. It uses English-like keywords. B. It consists of binary 0/1 instructions directly executed by the CPU. C. It is platform-independent. D. It requires an interpreter at runtime.
E021,Multiple Choice,"In Python, which of the following is a valid variable name? A. 3rd_score. B. for. C. _studentName. D. class."
E022,Multiple Choice,What is the data type of the value 3.14 in Python? A. int. B. float. C. str. D. bool.
E023,Multiple Choice,The result of the expression 7 // 2 in Python is: A. 3.5. B. 3. C. 4. D. 1.
E024,Multiple Choice,The result of the expression 2 ** 3 in Python is: A. 6. B. 8. C. 9. D. 5.
E025,Multiple Choice,Which comparison operator checks for inequality in Python? A. =. B. ==. C. !=. D. <>.
E026,Multiple Choice,Which function is used in Python to read a line of text from the keyboard? A. print(). B. input(). C. read(). D. scan().
E027,Multiple Choice,Which Python function returns the number of items in a sequence? A. count(). B. size(). C. len(). D. length().
